Date,Open,High,Low,Close,Adj Close,Volume
2021-11-10,2426.439941,2428.969971,2380.760010,2389.580078,2389.580078,3581630000
2021-11-11,2390.500000,2418.830078,2390.500000,2409.139893,2409.139893,2623140000
2021-11-12,2409.459961,2417.199951,2405.840088,2411.780029,2411.780029,2865790000
2021-11-15,2412.040039,2421.070068,2392.889893,2400.929932,2400.929932,2618980000
2021-11-16,2400.100098,2408.340088,2386.510010,2405.020020,2405.020020,2838210000
2021-11-17,2404.209961,2404.209961,2369.110107,2377.010010,2377.010010,3221250000
2021-11-18,2377.600098,2385.989990,2348.520020,2363.590088,2363.590088,3335620000
2021-11-19,2362.439941,2362.439941,2341.570068,2343.159912,2343.159912,3265600000
2021-11-22,2343.669922,2369.629883,2331.350098,2331.350098,2331.350098,3206280000
2021-11-23,2331.250000,2342.629883,2303.379883,2327.860107,2327.860107,3428780000
2021-11-24,2326.699951,2334.370117,2303.939941,2331.459961,2331.459961,2464040000
2021-11-26,2328.979980,2328.979980,2215.239990,2245.939941,2245.939941,2676740000
2021-11-29,2248.899902,2281.280029,2232.090088,2241.979980,2241.979980,3471380000
2021-11-30,2241.050049,2241.050049,2175.679932,2198.909912,2198.909912,4950190000
2021-12-01,2203.120117,2253.370117,2147.399902,2147.419922,2147.419922,4078260000
2021-12-02,2147.620117,2211.659912,2147.620117,2206.330078,2206.330078,3771510000
2021-12-03,2207.060059,2216.179932,2143.120117,2159.310059,2159.310059,3971500000
2021-12-06,2160.159912,2218.270020,2154.620117,2203.479980,2203.479980,3305690000
2021-12-07,2206.770020,2271.709961,2206.770020,2253.790039,2253.790039,3334320000
2021-12-08,2254.310059,2276.750000,2248.239990,2271.709961,2271.709961,3061550000
2021-12-09,2270.270020,2270.270020,2220.179932,2220.209961,2220.209961,2851660000
2021-12-10,2221.429932,2240.379883,2200.100098,2211.810059,2211.810059,2858310000
2021-12-13,2211.590088,2211.590088,2169.010010,2180.500000,2180.500000,3322050000
2021-12-14,2178.919922,2189.709961,2153.209961,2159.649902,2159.649902,3292740000
2021-12-15,2159.879883,2199.860107,2130.909912,2195.209961,2195.209961,3367580000
2021-12-16,2196.820068,2216.090088,2144.699951,2152.459961,2152.459961,3592810000
2021-12-17,2152.510010,2186.360107,2124.739990,2173.929932,2173.929932,5609780000
2021-12-20,2170.969971,2170.969971,2107.679932,2139.870117,2139.870117,3395780000
2021-12-21,2141.409912,2203.020020,2141.409912,2202.949951,2202.949951,2564370000
2021-12-22,2202.429932,2222.520020,2195.419922,2221.899902,2221.899902,2439570000
2021-12-23,2222.250000,2247.629883,2222.250000,2241.580078,2241.580078,2194630000
2021-12-27,2242.479980,2261.889893,2230.330078,2261.459961,2261.459961,2264120000
2021-12-28,2261.040039,2274.540039,2245.570068,2246.510010,2246.510010,2217050000
